dataset,n_models,models_used,smape_mean,smape_median,smape_fi_avg,smape_stack_svr
M1009,3,rf_knn_ces,6.8172199829032385,4.395849329744521,6.899079859243774,14.506671396343576
M1009,3,mlp_svr_arima,5.149280667854115,4.233479560675005,4.87142297539073,14.506671396343576
M1009,3,rf_mlp_ets,6.384082233089422,4.520797319646172,6.010172182757196,14.506671396343576
M1009,3,ets_theta_ces,11.555503610728048,11.916679165729953,11.660626264147963,14.506671396343576
M1009,3,rf_ets_ces,9.081834842734672,10.312449546206421,9.098899038931751,14.506671396343576
M1009,3,mlp_ets_theta,8.942786234473916,10.2769238180685,8.690632011973221,14.506671396343576
M1009,3,ets_theta_tbats,11.341371021050119,11.916679165729953,11.290128544544759,14.506671367632705
M1009,3,knn_svr_ets,4.788453543867318,3.3390007971654923,4.9124376201016045,14.503135614026297
M1009,3,svr_arima_tbats,7.649371188101975,10.054258395696188,7.557373709349472,14.506671396343563
M1009,3,knn_ets_ces,8.772572153533533,10.242671582374326,8.97450123094652,14.506671396343576
M1009,3,rf_mlp_tbats,6.9903836623401,4.520797319646172,7.380975302379437,14.506671396343576
M1009,3,svr_ets_theta,7.699952206288074,10.193881415301215,7.809769972678808,14.506671396343576
M1009,3,arima_ets_ces,10.929130976023396,10.18012553914138,10.888590542973239,14.506671396343576
M1009,3,rf_knn_svr,2.9513084075465157,3.35788446439501,2.835267710365979,14.49668699216789
M1009,3,svr_theta_ces,8.519121154937235,11.916679165729953,8.471473607052921,14.506671396343576
M1009,3,mlp_arima_theta,8.892863984484583,10.137300798463473,8.840064882835403,14.506671396343576
M1009,3,rf_knn_arima,5.931696560180983,4.326071365912424,5.468984413246225,14.50584260056615
M1009,3,knn_theta_tbats,9.144612401080673,11.916679165729953,8.87720346258487,14.496231720453379
M1009,3,knn_svr_tbats,5.393316722988115,3.3877909642386026,5.359750493989371,14.50518101788415
M1009,3,rf_arima_tbats,8.81201977781176,10.137300798463473,8.576775970179632,14.506671396343576
M1009,3,rf_svr_theta,5.717878161819713,4.3304171017630075,5.692456417340843,14.506671396343576
M1009,3,mlp_knn_theta,6.671806806798516,4.331328569972935,6.541594284265245,14.506671396343576
M1009,3,ets_tbats_ces,11.555503610728048,11.916679165729953,11.607473107666534,14.506671396343576
M1009,3,rf_svr_arima,5.073965939613665,4.247374698995721,5.636814727181653,14.506671396343576
M1009,3,svr_arima_ets,7.047333807783025,10.040502519536355,6.922267217068563,14.506671396343576
M1009,3,arima_theta_tbats,11.29271051139967,11.916679165729953,11.380428312847801,14.50506278339022
