dataset,n_models,models_used,rmse_mean,rmse_median,rmse_fi_avg,rmse_stack_svr
M1003,4,svr_ets_theta_tbats,58.92510945230291,71.51864589016348,49.67306019575342,1000.9817809117924
M1003,4,rf_mlp_arima_tbats,79.4088650633538,69.1910834012829,62.63518231837902,1004.4183719909299
M1003,4,rf_mlp_svr_theta,67.58523782229597,63.815634203482894,42.92533659656471,1011.213223147587
M1003,4,mlp_knn_theta_tbats,82.59149222373244,73.7003959860441,71.20371286932254,1013.1686160703314
M1003,4,rf_arima_tbats_ces,65.616588080779,67.19550879805217,64.01809048903489,1008.9905834558816
M1003,4,mlp_knn_svr_tbats,70.87855755986185,63.98624296514721,49.31486088905662,1012.2447437882847
M1003,4,mlp_arima_ets_theta,81.61603716497632,74.23583650563434,71.11974641025344,1004.4039847707179
M1003,4,knn_svr_arima_theta,53.139672980906205,58.58764887522859,50.21663464459682,1004.637041398078
M1003,4,mlp_svr_arima_ets,68.30267121442274,70.01366858073096,54.308586867538885,1004.4039789918318
M1003,4,arima_ets_theta_ces,70.48857621976013,70.35063188835619,69.84979421693451,1004.9067755822052
M1003,4,mlp_arima_tbats_ces,80.83479220255202,71.10458246223546,68.49893158696729,1004.4159411217652
M1003,4,rf_svr_theta_ces,53.37060239171099,62.15529009337824,49.89087985795966,1006.4913706259268
M1003,4,mlp_knn_arima_theta,81.95267574106404,72.2864103236228,64.1369796334531,1004.4035524357068
M1003,4,mlp_svr_arima_ces,67.69267850622644,67.50032506366165,51.68748553852174,1004.4330783039338
M1003,4,arima_ets_theta_tbats,71.28789346091853,71.98581624137636,70.52452739094092,1004.268504292563
M1003,4,rf_knn_arima_ets,63.829866683164724,62.65805936849615,63.65450055066212,1004.4053507170794
M1003,4,knn_svr_tbats_ces,53.73907359418475,60.13369724354132,50.351966278170956,1007.7344874298986
M1003,4,rf_svr_arima_theta,52.74549405149848,60.49167770378019,47.74858495292132,1007.1212662865205
M1003,4,rf_mlp_theta_tbats,80.09903157353102,71.26042472346884,63.73981879716483,1013.0425869674577
M1003,4,mlp_knn_ets_theta,83.02758946816896,75.3621096464753,67.38813478518041,1004.6086715325595
M1003,4,knn_arima_tbats_ces,65.570352467174,67.80793826342982,63.91662082988612,1004.3997550209926
M1003,4,mlp_knn_tbats_ces,82.22060398463371,72.74658810533329,65.07472672680109,1014.212320812702
M1003,4,mlp_svr_ets_ces,68.63830153151325,71.31245958356565,57.428635329933755,1004.2705815167272
M1003,4,rf_knn_arima_ces,62.51164049981623,62.3578094208977,62.503031220260375,1004.406544270566
M1003,4,svr_arima_ets_tbats,57.26016475596875,67.60659454973315,52.2101294891937,1002.4457600541707
M1003,4,rf_knn_svr_ets,52.899692890212926,55.75707231162771,57.01954202979969,1004.2945864592263
M1003,4,svr_ets_theta_ces,57.991754227140035,69.3457932909425,51.75703460602544,1001.7254817085776
M1003,4,rf_mlp_arima_ces,79.11695904339345,68.01623878029557,63.971167256045874,1004.7812490990627
M1003,4,mlp_ets_tbats_ces,82.0086464051784,73.85861405682049,72.44376461522432,1010.1556167340941
M1003,4,rf_svr_tbats_ces,53.37060239171099,62.15529009337824,50.784462593118896,1006.4913706259268
